checking_sttus,durtion_new,credit_history,purpose,credit_mount,credit_mount_new,svings_sttus,employment,instllment_commitment,personl_sttus,other_prties,residence_since,property_mgnitude,ge,other_pyment_plns,housing,existing_credits,job,own_telephone,foreign_worker,clss
11,6,34,43,1169,1,65,75,4,93,101,4,121,67,143,152,2,173,192,201,1
12,48,32,43,5951,2,61,73,2,92,101,2,121,22,143,152,1,173,191,201,2
14,12,34,43,2096,1,61,74,2,93,101,3,121,49,143,152,1,172,191,201,1
11,42,32,43,7882,3,61,74,2,93,103,4,122,45,143,153,1,173,191,201,1
11,24,33,40,4870,2,61,73,3,93,101,4,124,53,143,153,2,173,191,201,2
14,20.863454,32,43,9055,3,65,73,2,93,101,4,124,35,143,153,1,172,192,201,1
14,24,32,42,2835,1,63,75,3,93,101,4,122,53,143,152,1,173,191,201,1
12,36,32,41,6948,3,61,73,2,93,101,2,123,35,143,151,1,174,192,201,1
14,12,32,43,3059,1,64,74,2,91,101,4,121,61,143,152,1,172,191,201,1
12,30,34,43,5234,2,61,71,4,94,101,2,123,28,143,152,2,174,191,201,2
12,12,32,40,1295,1,61,72,3,92,101,1,123,25,143,151,1,173,191,201,2
11,20.863454,32,49,4308,2,61,72,3,92,101,4,122,24,143,151,1,173,191,201,2
12,12,32,43,1567,1,61,73,1,92,101,1,123,22,143,152,1,173,192,201,1
11,24,34,40,1199,1,61,75,4,93,101,4,123,60,143,152,2,172,191,201,2
11,20.863454,32,40,1403,1,61,73,2,92,101,4,123,28,143,151,1,173,191,201,1
11,24,32,43,1282,1,62,73,4,92,101,2,123,32,143,152,1,172,191,201,2
14,20.863454,34,43,2424,1,65,75,4,93,101,4,122,53,143,152,2,173,191,201,1
11,30,30,49,8072,3,65,72,2,93,101,3,123,25,141,152,3,173,191,201,1
12,24,32,41,12579,4,61,75,4,92,101,2,124,44,143,153,1,174,192,201,2
14,24,32,43,3430,1,63,75,3,93,101,2,123,31,143,152,1,173,192,201,1
14,9,34,40,2134,1,61,73,4,93,101,4,123,48,143,152,3,173,192,201,1
11,6,32,43,2647,1,63,73,2,93,101,3,121,44,143,151,1,173,191,201,1
11,10,34,40,2241,1,61,72,1,93,101,3,121,48,143,151,2,172,191,202,1
12,12,34,41,1804,1,62,72,3,93,101,4,122,44,143,152,1,173,191,201,1
14,10,34,42,2069,1,65,73,2,94,101,1,123,26,143,152,2,173,191,202,1
11,6,32,42,1374,1,61,73,1,93,101,2,121,36,141,152,1,172,192,201,1
14,6,30,43,426,1,61,75,4,94,101,4,123,39,143,152,1,172,191,201,1
13,12,31,43,409,1,64,73,3,92,101,3,121,42,143,151,2,173,191,201,1
12,7,32,43,2415,1,61,73,3,93,103,2,121,34,143,152,1,173,191,201,1
11,56.9,33,49,6836,3,61,75,3,93,101,4,124,63,143,152,2,173,192,201,2
12,18,32,49,1913,1,64,72,3,94,101,3,121,36,141,152,1,173,192,201,1
11,24,32,42,4020,2,61,73,2,93,101,2,123,27,142,152,1,173,191,201,1
12,18,32,40,5866,2,62,73,2,93,101,2,123,30,143,152,2,173,192,201,1
14,12,34,49,1264,1,65,75,4,93,101,4,124,57,143,151,1,172,191,201,1
13,12,32,42,1474,1,61,72,4,92,101,1,122,33,141,152,1,174,192,201,1
12,45,34,43,4746,2,61,72,4,93,101,2,122,25,143,152,2,172,191,201,2
14,48,34,46,6110,2,61,73,1,93,101,3,124,31,141,153,1,173,192,201,1
13,18,32,43,2100,1,61,73,4,93,102,2,121,37,142,152,1,173,191,201,2
13,10,32,44,1225,1,61,73,2,93,101,2,123,37,143,152,1,173,192,201,1
12,9,32,43,458,1,61,73,4,93,101,3,121,24,143,152,1,173,191,201,1
14,30,32,43,2333,1,63,75,4,93,101,2,123,30,141,152,1,174,191,201,1
12,12,32,43,1158,1,63,73,3,91,101,1,123,26,143,152,1,173,192,201,1
12,18,33,45,6204,2,61,73,2,93,101,4,121,44,143,152,1,172,192,201,1
11,30,34,41,6187,2,62,74,1,94,101,4,123,24,143,151,2,173,191,201,1
11,48,34,41,6143,2,61,75,4,92,101,4,124,58,142,153,2,172,191,201,2
14,11,34,40,1393,1,61,72,4,92,101,4,123,35,143,152,2,174,191,201,1
14,36,32,43,2299,1,63,75,4,93,101,4,123,39,143,152,1,173,191,201,1
11,6,32,41,1352,1,63,71,1,92,101,2,122,23,143,151,1,171,192,201,1
14,11,34,40,7228,3,61,73,1,93,101,4,122,39,143,152,2,172,191,201,1
14,12,32,43,2073,1,62,73,4,92,102,2,121,28,143,152,1,173,191,201,1
12,24,33,42,2333,1,65,72,4,93,101,2,122,29,141,152,1,172,191,201,1
12,27,33,41,5965,2,61,75,1,93,101,2,123,30,143,152,2,174,192,201,1
14,12,32,43,1262,1,61,73,3,93,101,2,123,25,143,152,1,173,191,201,1
14,18,32,41,3378,1,65,73,2,93,101,1,122,31,143,152,1,173,192,201,1
12,36,33,40,2225,1,61,75,4,93,101,4,124,57,141,153,2,173,192,201,2
14,6,31,40,783,1,65,73,1,93,103,2,121,26,142,152,1,172,191,201,1
12,12,32,43,6468,2,65,71,2,93,101,1,124,52,143,152,1,174,192,201,2
14,36,34,43,9566,3,61,73,2,92,101,2,123,31,142,152,2,173,191,201,1
13,18,32,40,1961,1,61,75,3,92,101,2,123,23,143,152,1,174,191,201,1
11,36,34,42,6229,2,61,72,4,92,102,4,124,23,143,151,2,172,192,201,2
12,9,32,49,1391,1,61,73,2,94,101,1,121,27,141,152,1,173,192,201,1
12,15,34,43,1537,1,65,75,4,93,103,4,121,50,143,152,2,173,192,201,1
12,36,30,49,1953,1,61,75,4,93,101,4,124,61,143,153,1,174,192,201,2
12,48,30,49,14421,4,61,73,2,93,101,2,123,25,143,152,1,173,192,201,2
14,24,32,43,3181,1,61,72,4,92,101,4,122,26,143,152,1,173,192,201,1
14,27,32,45,5190,2,65,75,4,93,101,4,122,48,143,152,4,173,192,201,1
14,12,32,43,2171,1,61,72,2,92,101,2,123,29,141,152,1,173,191,201,1
12,12,32,40,1007,1,64,73,4,94,101,1,121,22,143,152,1,173,191,201,1
14,36,32,46,1819,1,61,73,4,93,101,4,124,37,142,153,1,173,192,201,2
14,36,32,43,2394,1,65,73,4,92,101,4,123,25,143,152,1,173,191,201,1
14,36,32,41,8133,3,61,73,1,92,101,2,122,30,141,152,1,173,191,201,1
14,7,34,43,730,1,65,75,4,93,101,2,122,46,143,151,2,172,192,201,1
11,8,34,410,1164,1,61,75,3,93,101,4,124,51,141,153,2,174,192,201,1
12,42,34,49,5954,2,61,74,2,92,101,1,121,41,141,152,2,172,191,201,1
11,36,32,46,1977,1,65,75,4,93,101,4,124,40,143,152,1,174,192,201,2
11,12,34,41,1526,1,61,75,4,93,101,4,124,66,143,153,2,174,191,201,1
11,42,32,43,3965,2,61,72,4,93,101,3,123,34,143,152,1,173,191,201,2
